"","x"
"1",8.02
"2",6.02
"3",6.95
"4",5.52
"5",7.53
"6",5.99
"7",8.1
"8",7.57
"9",5.68
"10",6.37
"11",7.71
"12",6.84
"13",7.27
"14",8.44
"15",8.22
"16",7.18
"17",7.57
"18",8.31
"19",8
"20",7.1
"21",7.65
"22",6.47
"23",8.07
"24",5.68
"25",7.92
"26",6.9
"27",5.74
"28",6.06
"29",6.13
"30",7.9
"31",6.84
"32",8
"33",5.78
"34",5.36
"35",6.66
"36",5.83
"37",4.05
"38",5.9
"39",6
"40",7.92
"41",4.89
"42",6.84
"43",5.03
"44",6.53
"45",5.42
"46",6.25
"47",5.57
"48",4.6
"49",3.63
"50",3.61
"51",4.25
"52",5.12
"53",4.1
"54",5.13
"55",3.92
"56",3.98
"57",4.12
"58",4.11
"59",4.25
"60",4.56
"61",5.41
"62",4.38
"63",6.18
"64",4.23
"65",5.55
"66",5.45
"67",4.95
"68",7.85
"69",5.51
"70",8.07
"71",8.86
"72",8.38
"73",7.6
"74",5.03
"75",5.27
"76",5.05
"77",4.67
"78",3.57
"79",4.12
"80",4.89
"81",6.45
"82",7.92
"83",6.32
"84",5.37
"85",3.56
"86",5.8
"87",4.58
"88",4.92
